Team,Round,Date,Year,Total Points
Brisbane Lions,R12,5/6/2022,2022,13.7
Brisbane Lions,R12,7/6/2014,2014,14.11
Brisbane Lions,R12,8/6/2019,2019,9.9
Brisbane Lions,R13,10/6/2023,2023,11.7
Brisbane Lions,R13,11/6/2022,2022,10.18
Brisbane Lions,R13,14/6/2014,2014,12.8
Brisbane Lions,R13,17/6/2017,2017,12.9
Brisbane Lions,R13,18/6/2016,2016,12.1
Brisbane Lions,R13,23/6/2012,2012,18.6
Brisbane Lions,R13,23/6/2013,2013,15.13
Brisbane Lions,R13,23/8/2020,2020,6.14
Brisbane Lions,R13,27/6/2015,2015,10.9
Brisbane Lions,R14,1/7/2012,2012,18.14
Brisbane Lions,R14,16/6/2023,2023,13.19
Brisbane Lions,R14,19/6/2021,2021,9.14
Brisbane Lions,R14,21/6/2014,2014,3.4
Brisbane Lions,R14,22/6/2019,2019,17.13
Brisbane Lions,R14,23/6/2018,2018,12.1
Brisbane Lions,R14,24/6/2017,2017,12.14
Brisbane Lions,R14,25/6/2016,2016,11.9
Brisbane Lions,R14,30/6/2013,2013,12.13
Brisbane Lions,R14,5/7/2015,2015,7.6
Brisbane Lions,R15,1/7/2018,2018,18.11
Brisbane Lions,R15,12/7/2015,2015,7.7
Brisbane Lions,R15,2/7/2017,2017,13.12
Brisbane Lions,R15,23/6/2022,2022,7.11
Brisbane Lions,R15,23/6/2023,2023,12.12
Brisbane Lions,R15,24/6/2021,2021,13.16
Brisbane Lions,R15,28/6/2014,2014,10.1
Brisbane Lions,R15,30/6/2019,2019,15.17
Brisbane Lions,R15,4/9/2020,2020,6.6
Brisbane Lions,R15,6/7/2013,2013,17.14
Brisbane Lions,R15,7/7/2012,2012,9.9
Brisbane Lions,R16,13/7/2013,2013,18.9
Brisbane Lions,R16,14/7/2012,2012,14.8
Brisbane Lions,R16,19/7/2015,2015,4.12
Brisbane Lions,R16,29/6/2023,2023,20.14
Brisbane Lions,R16,3/7/2021,2021,17.9
Brisbane Lions,R16,30/6/2022,2022,16.12
Brisbane Lions,R16,5/7/2014,2014,7.12
Brisbane Lions,R16,7/7/2018,2018,18.12
Brisbane Lions,R16,7/7/2019,2019,14.1
Brisbane Lions,R16,8/7/2017,2017,11.12
Brisbane Lions,R16,9/7/2016,2016,17.11
Brisbane Lions,R16,9/9/2020,2020,13.1
Brisbane Lions,R17,10/7/2021,2021,8.15
Brisbane Lions,R17,10/7/2022,2022,13.12
Brisbane Lions,R17,12/7/2014,2014,9.1
Brisbane Lions,R17,13/9/2020,2020,11.7
Brisbane Lions,R17,14/7/2018,2018,15.8
Brisbane Lions,R17,14/7/2019,2019,14.13
Brisbane Lions,R17,16/7/2017,2017,12.9
Brisbane Lions,R17,17/7/2016,2016,9.13
Brisbane Lions,R17,20/7/2013,2013,13.16
Brisbane Lions,R17,21/7/2012,2012,8.11
Brisbane Lions,R17,25/7/2015,2015,5.8
Brisbane Lions,R17,8/7/2023,2023,16.2
Brisbane Lions,R18,1/8/2015,2015,8.9
Brisbane Lions,R18,14/7/2023,2023,16.8
Brisbane Lions,R18,16/7/2021,2021,13.8
Brisbane Lions,R18,16/7/2022,2022,15.9
Brisbane Lions,R18,19/9/2020,2020,11.12
Brisbane Lions,R18,20/7/2019,2019,12.15
Brisbane Lions,R18,21/7/2018,2018,13.1
Brisbane Lions,R18,23/7/2017,2017,17.1
Brisbane Lions,R18,24/7/2016,2016,20.8
Brisbane Lions,R18,26/7/2014,2014,16.14
Brisbane Lions,R18,28/7/2013,2013,9.8
Brisbane Lions,R18,29/7/2012,2012,12.5
Brisbane Lions,R19,22/7/2023,2023,9.1
Brisbane Lions,R19,23/7/2022,2022,16.14
Brisbane Lions,R19,24/7/2021,2021,17.18
Brisbane Lions,R19,27/7/2019,2019,13.9
Brisbane Lions,R19,28/7/2018,2018,11.12
Brisbane Lions,R19,3/8/2013,2013,16.12
Brisbane Lions,R19,3/8/2014,2014,11.8
Brisbane Lions,R19,30/7/2016,2016,11.13
Brisbane Lions,R19,30/7/2017,2017,6.9
Brisbane Lions,R19,4/8/2012,2012,12.12
Brisbane Lions,R19,8/8/2015,2015,14.16
Brisbane Lions,R2,1/4/2017,2017,12.12
Brisbane Lions,R2,12/4/2015,2015,7.9
Brisbane Lions,R2,13/6/2020,2020,12.9
Brisbane Lions,R2,2/4/2016,2016,11.17
Brisbane Lions,R2,24/3/2023,2023,14.9
Brisbane Lions,R2,26/3/2021,2021,11.14
Brisbane Lions,R2,26/3/2022,2022,15.7
Brisbane Lions,R2,30/3/2014,2014,10.8
Brisbane Lions,R2,31/3/2018,2018,10.14
