Team,RoundOrder,Date,Year,Total Points,Cumulative Points
Brisbane Lions,7,7/5/2017,2017,12.9,87.92
Brisbane Lions,7,8/5/2016,2016,7.17,79.63
Brisbane Lions,8,10/5/2014,2014,8.9,78.73
Brisbane Lions,8,11/5/2019,2019,11.1,106.02
Brisbane Lions,8,12/5/2018,2018,14.9,88.28
Brisbane Lions,8,13/5/2017,2017,11.9,99.82
Brisbane Lions,8,14/5/2016,2016,10.5,90.13
Brisbane Lions,8,18/5/2013,2013,14.12,92.42
Brisbane Lions,8,20/5/2012,2012,19.18,91.72
Brisbane Lions,8,24/5/2015,2015,12.6,83.87
Brisbane Lions,8,26/7/2020,2020,7.11,81.51
Brisbane Lions,8,5/5/2023,2023,15.1,122.96
Brisbane Lions,8,7/5/2022,2022,16.9,132.82999999999998
Brisbane Lions,8,9/5/2021,2021,14.11,103.05
Brisbane Lions,9,13/5/2023,2023,12.15,135.11
Brisbane Lions,9,14/5/2022,2022,16.6,149.43
Brisbane Lions,9,15/5/2021,2021,19.1,122.15
Brisbane Lions,9,17/5/2014,2014,6.2,84.93
Brisbane Lions,9,18/5/2019,2019,13.15,119.17
Brisbane Lions,9,20/5/2017,2017,7.18,107.0
Brisbane Lions,9,20/5/2018,2018,20.9,109.18
Brisbane Lions,9,22/5/2016,2016,9.14,99.27
Brisbane Lions,9,25/5/2013,2013,12.13,104.55
Brisbane Lions,9,27/5/2012,2012,15.6,107.32
Brisbane Lions,9,31/5/2015,2015,13.8,97.67
Brisbane Lions,9,31/7/2020,2020,14.7,96.21000000000001
Brisbane Lions,10,20/5/2023,2023,16.11,151.22
Brisbane Lions,10,21/5/2021,2021,15.12,137.27
Brisbane Lions,10,22/5/2022,2022,17.1,166.53
Brisbane Lions,10,26/5/2018,2018,6.13,115.31
Brisbane Lions,10,26/5/2019,2019,10.12,129.29
Brisbane Lions,10,28/5/2016,2016,13.9,113.17
Brisbane Lions,10,28/5/2017,2017,13.6,120.6
Brisbane Lions,10,3/6/2012,2012,16.6,123.92
Brisbane Lions,10,31/5/2013,2013,7.9,112.45
Brisbane Lions,10,4/8/2020,2020,4.17,100.38
Brisbane Lions,10,7/6/2015,2015,10.7,108.37
Brisbane Lions,11,1/6/2019,2019,12.13,141.42
Brisbane Lions,11,28/5/2022,2022,16.14,182.67000000000002
Brisbane Lions,11,28/5/2023,2023,10.18,161.4
Brisbane Lions,11,29/5/2021,2021,19.15,156.42
Brisbane Lions,11,3/6/2018,2018,12.15,127.46000000000001
Brisbane Lions,11,31/5/2014,2014,14.14,99.07
Brisbane Lions,11,4/6/2016,2016,9.1,122.27
Brisbane Lions,11,8/8/2020,2020,14.12,114.5
Brisbane Lions,12,10/6/2017,2017,18.13,138.73
Brisbane Lions,12,10/6/2018,2018,8.14,135.6
Brisbane Lions,12,11/6/2016,2016,9.1,131.37
Brisbane Lions,12,15/6/2013,2013,6.1,118.55
Brisbane Lions,12,15/8/2020,2020,7.11,121.61
Brisbane Lions,12,17/6/2012,2012,11.4,135.32
Brisbane Lions,12,20/6/2015,2015,11.8,120.17
Brisbane Lions,12,4/6/2021,2021,11.9,168.32
Brisbane Lions,12,5/6/2022,2022,13.7,196.37
Brisbane Lions,12,7/6/2014,2014,14.11,113.18
Brisbane Lions,12,8/6/2019,2019,9.9,151.32
Brisbane Lions,13,10/6/2023,2023,11.7,173.1
Brisbane Lions,13,11/6/2022,2022,10.18,206.55
Brisbane Lions,13,14/6/2014,2014,12.8,125.98
Brisbane Lions,13,17/6/2017,2017,12.9,151.63
Brisbane Lions,13,18/6/2016,2016,12.1,143.47
Brisbane Lions,13,23/6/2012,2012,18.6,153.92000000000002
Brisbane Lions,13,23/6/2013,2013,15.13,133.68
Brisbane Lions,13,23/8/2020,2020,6.14,127.75
Brisbane Lions,13,27/6/2015,2015,10.9,131.07
Brisbane Lions,14,1/7/2012,2012,18.14,172.06
Brisbane Lions,14,16/6/2023,2023,13.19,186.29
Brisbane Lions,14,19/6/2021,2021,9.14,177.46
Brisbane Lions,14,21/6/2014,2014,3.4,129.38
Brisbane Lions,14,22/6/2019,2019,17.13,168.45
Brisbane Lions,14,23/6/2018,2018,12.1,147.7
Brisbane Lions,14,24/6/2017,2017,12.14,163.77
Brisbane Lions,14,25/6/2016,2016,11.9,155.37
Brisbane Lions,14,30/6/2013,2013,12.13,145.81
Brisbane Lions,14,5/7/2015,2015,7.6,138.67
Brisbane Lions,15,1/7/2018,2018,18.11,165.81
Brisbane Lions,15,12/7/2015,2015,7.7,146.37
Brisbane Lions,15,2/7/2017,2017,13.12,176.89
Brisbane Lions,15,23/6/2022,2022,7.11,213.66
Brisbane Lions,15,23/6/2023,2023,12.12,198.41
Brisbane Lions,15,24/6/2021,2021,13.16,190.62
Brisbane Lions,15,28/6/2014,2014,10.1,139.48
Brisbane Lions,15,30/6/2019,2019,15.17,183.62
Brisbane Lions,15,4/9/2020,2020,6.6,134.35
Brisbane Lions,15,6/7/2013,2013,17.14,162.95
Brisbane Lions,15,7/7/2012,2012,9.9,181.96
Brisbane Lions,16,13/7/2013,2013,18.9,181.85
Brisbane Lions,16,14/7/2012,2012,14.8,196.76
Brisbane Lions,16,19/7/2015,2015,4.12,150.49
Brisbane Lions,16,29/6/2023,2023,20.14,218.55
Brisbane Lions,16,3/7/2021,2021,17.9,208.51999999999998
Brisbane Lions,16,30/6/2022,2022,16.12,229.78
Brisbane Lions,16,5/7/2014,2014,7.12,146.6
Brisbane Lions,16,7/7/2018,2018,18.12,183.93
Brisbane Lions,16,7/7/2019,2019,14.1,197.72
Brisbane Lions,16,8/7/2017,2017,11.12,188.01
Brisbane Lions,16,9/7/2016,2016,17.11,172.48
Brisbane Lions,16,9/9/2020,2020,13.1,147.45
Brisbane Lions,17,10/7/2021,2021,8.15,216.67
Brisbane Lions,17,10/7/2022,2022,13.12,242.9
Brisbane Lions,17,12/7/2014,2014,9.1,155.7
Brisbane Lions,17,13/9/2020,2020,11.7,159.15
Brisbane Lions,17,14/7/2018,2018,15.8,199.73000000000002
Brisbane Lions,17,14/7/2019,2019,14.13,211.85
Brisbane Lions,17,16/7/2017,2017,12.9,200.91
Brisbane Lions,17,17/7/2016,2016,9.13,181.60999999999999
Brisbane Lions,17,20/7/2013,2013,13.16,195.01
Brisbane Lions,17,21/7/2012,2012,8.11,204.87
Brisbane Lions,17,25/7/2015,2015,5.8,156.29
Brisbane Lions,17,8/7/2023,2023,16.2,234.75
Brisbane Lions,18,1/8/2015,2015,8.9,165.19
Brisbane Lions,18,14/7/2023,2023,16.8,251.55
Brisbane Lions,18,16/7/2021,2021,13.8,230.47
Brisbane Lions,18,16/7/2022,2022,15.9,258.8
Brisbane Lions,18,19/9/2020,2020,11.12,170.27
Brisbane Lions,18,20/7/2019,2019,12.15,224.0
Brisbane Lions,18,21/7/2018,2018,13.1,212.83
Brisbane Lions,18,23/7/2017,2017,17.1,218.01
Brisbane Lions,18,24/7/2016,2016,20.8,202.41
Brisbane Lions,18,26/7/2014,2014,16.14,171.84
Brisbane Lions,18,28/7/2013,2013,9.8,204.81
Brisbane Lions,18,29/7/2012,2012,12.5,217.37
Brisbane Lions,19,22/7/2023,2023,9.1,260.65
Brisbane Lions,19,23/7/2022,2022,16.14,274.94
Brisbane Lions,19,24/7/2021,2021,17.18,247.65
Brisbane Lions,19,27/7/2019,2019,13.9,237.9
Brisbane Lions,19,28/7/2018,2018,11.12,223.95
Brisbane Lions,19,3/8/2013,2013,16.12,220.93
Brisbane Lions,19,3/8/2014,2014,11.8,183.64
Brisbane Lions,19,30/7/2016,2016,11.13,213.54
Brisbane Lions,19,30/7/2017,2017,6.9,224.91
Brisbane Lions,19,4/8/2012,2012,12.12,229.49
Brisbane Lions,19,8/8/2015,2015,14.16,179.35
Brisbane Lions,20,1/8/2021,2021,12.8,260.45
Brisbane Lions,20,10/8/2013,2013,11.8,232.73000000000002
Brisbane Lions,20,10/8/2014,2014,9.9,193.54
Brisbane Lions,20,11/8/2012,2012,10.17,239.66
Brisbane Lions,20,15/8/2015,2015,20.11,199.46
Brisbane Lions,20,29/7/2023,2023,7.13,267.78
Brisbane Lions,20,31/7/2022,2022,14.13,289.07
Brisbane Lions,20,4/8/2018,2018,16.8,240.75
Brisbane Lions,20,4/8/2019,2019,14.14,252.04
Brisbane Lions,20,5/8/2017,2017,13.11,238.02
Brisbane Lions,20,6/8/2016,2016,6.3,219.84
Brisbane Lions,21,10/8/2019,2019,22.12,274.15999999999997
Brisbane Lions,21,11/8/2018,2018,11.7,252.45
