Team,Round,Date,Year,Total Points,RoundOrder
Melbourne,R20,11/8/2012,2012,12.1,20
North Melbourne,R20,12/8/2012,2012,15.1,20
Port Adelaide,R20,12/8/2012,2012,13.9,20
Richmond,R20,12/8/2012,2012,22.18,20
St Kilda,R20,11/8/2012,2012,16.11,20
Sydney,R20,11/8/2012,2012,9.16,20
West Coast,R20,10/8/2012,2012,16.6,20
Western Bulldogs,R20,12/8/2012,2012,12.8,20
Adelaide,R21,18/8/2012,2012,12.13,21
Brisbane Lions,R21,18/8/2012,2012,13.17,21
Carlton,R21,18/8/2012,2012,24.12,21
Collingwood,R21,18/8/2012,2012,8.13,21
Essendon,R21,18/8/2012,2012,8.12,21
Fremantle,R21,18/8/2012,2012,13.16,21
Geelong,R21,17/8/2012,2012,18.15,21
Gold Coast,R21,19/8/2012,2012,10.5,21
Greater Western Sydney,R21,18/8/2012,2012,9.5,21
Hawthorn,R21,19/8/2012,2012,19.15,21
Melbourne,R21,18/8/2012,2012,11.18,21
North Melbourne,R21,18/8/2012,2012,13.13,21
Port Adelaide,R21,19/8/2012,2012,6.14,21
Richmond,R21,18/8/2012,2012,11.6,21
St Kilda,R21,17/8/2012,2012,11.15,21
Sydney,R21,19/8/2012,2012,26.11,21
West Coast,R21,19/8/2012,2012,14.14,21
Western Bulldogs,R21,19/8/2012,2012,13.7,21
Adelaide,R22,26/8/2012,2012,22.18,22
Brisbane Lions,R22,25/8/2012,2012,16.8,22
Carlton,R22,25/8/2012,2012,11.2,22
Collingwood,R22,25/8/2012,2012,8.1,22
Essendon,R22,24/8/2012,2012,8.9,22
Fremantle,R22,26/8/2012,2012,20.12,22
Geelong,R22,26/8/2012,2012,16.11,22
Gold Coast,R22,25/8/2012,2012,15.8,22
Greater Western Sydney,R22,25/8/2012,2012,5.5,22
Hawthorn,R22,25/8/2012,2012,15.12,22
Melbourne,R22,26/8/2012,2012,11.15,22
North Melbourne,R22,26/8/2012,2012,12.7,22
Port Adelaide,R22,25/8/2012,2012,14.9,22
Richmond,R22,24/8/2012,2012,13.24,22
St Kilda,R22,25/8/2012,2012,25.13,22
Sydney,R22,25/8/2012,2012,14.11,22
West Coast,R22,25/8/2012,2012,15.17,22
Western Bulldogs,R22,26/8/2012,2012,11.7,22
Adelaide,R23,1/9/2012,2012,22.21,23
Brisbane Lions,R23,2/9/2012,2012,19.14,23
Carlton,R23,2/9/2012,2012,12.19,23
Collingwood,R23,1/9/2012,2012,14.2,23
Essendon,R23,1/9/2012,2012,10.12,23
Fremantle,R23,1/9/2012,2012,14.17,23
